ID,Titulo,Descripcion Simple,Informacion,Evaluaciones,Tipo,Precio,URL,Limpieza,Veracidad,Llegada,Comunicacion,Ubicacion,Calidad,Servicios,Localizacion
1200688382914319681,Magníficas vistas sobre la arena de la playa Wifi,"Alojamiento entero: piso en Guardamar de la Safor, España",6 viajeros ·  · 3 dormitorios ·  · 5 camas ·  · 2 baños,59 evaluaciones,A pie de playa,78 € ,https://www.airbnb.es/rooms/31709557?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=661906598&search_mode=flex_destinations_search&check_in=2024-04-10&check_out=2024-04-16&source_impression_id=p3_1710967122_NkyB2WbSTggkWJEg&previous_page_section_name=1000,"Limpieza4,9","Veracidad4,9","Llegada5,0","Comunicación4,8","Ubicación4,9","Calidad4,8","Vistas al marVistas al marAcceso a la playa, primera líneaCocinaWifiAparcamiento gratuito en las instalacionesPiscina De uso compartidoAdmite mascotasNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 61 servicios","Guardamar de la Safor, Comunidad Valenciana, EspañaLa playa de Guardamar de la Safor es muy tranquila y familiar, fue urbanizada hace menos de 20 años y está bien comunicada con las playas de Gandía y Denia.Mostrar más"
5375220911806434689,Melior-1E,"Alojamiento entero: piso en Calp, España",6 viajeros ·  · 2 dormitorios ·  · 3 camas ·  · 2 baños,8 evaluaciones,A pie de playa,83 € ,https://www.airbnb.es/rooms/37584336?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1419088652&search_mode=flex_destinations_search&check_in=2024-05-05&check_out=2024-05-10&source_impression_id=p3_1710967165_LxHg3sXSoW3PWPNi&previous_page_section_name=1000,"Limpieza4,9","Veracidad4,5","Llegada4,5","Comunicación4,8","Ubicación4,8","Calidad4,8",Vistas a la montañaWifiTVAscensorLavadoraAire acondicionadoMicroondasNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 10 servicios,"Calp, España"
556517738340669403,VERALUX,"Alojamiento entero: piso en Benidorm, España",4 viajeros ·  · 2 dormitorios ·  · 3 camas ·  · 2 baños,20 evaluaciones,A pie de playa,70 € ,https://www.airbnb.es/rooms/46527977?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1097478211&search_mode=flex_destinations_search&check_in=2024-03-22&check_out=2024-03-27&source_impression_id=p3_1710967163_kKxkKQMTv6y6JX4B&previous_page_section_name=1000,"Limpieza3,5","Veracidad4,6","Llegada4,7","Comunicación4,8","Ubicación5,0","Calidad4,3","Acceso a la playa, primera líneaCocinaWifiZona para trabajarPiscina: uso De uso compartido, Exterior, disponible según la temporada, disponible en un horario específicoJacuzzi privadoAdmite mascotasTVNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 31 servicios","Benidorm, Comunidad Valenciana, España1ª línea de playa de poniente. Bares, restaurantes, farmacias, estancos y tiendas en la zona.Mostrar más"
8800182335332003755,Isea Calpe,"Alojamiento entero: piso en Calp, España",4 viajeros ·  · 2 dormitorios ·  · 3 camas ·  · 2 baños,557 evaluaciones,A pie de playa,128 € ,https://www.airbnb.es/rooms/721277134871448378?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1495138219&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967156_fzT8liu3i8tCTdKC&previous_page_section_name=1000,,,,,,,CocinaWifiPiscinaTVAscensorLavadoraAire acondicionadoSecador de peloNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 18 servicios,"Calp, Comunidad Valenciana, España"
-5036294419472545696,"Apartamento luminoso, internet, Netflix","Alojamiento entero: apto. residencial en Grau i Platja, España",6 viajeros ·  · 2 dormitorios ·  · 6 camas ·  · 1 baño,64 evaluaciones,A pie de playa,85 € ,https://www.airbnb.es/rooms/50155790?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1195141353&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967158_49JI3FTL95nFkw%2FM&previous_page_section_name=1000,"Limpieza4,9","Veracidad4,9","Llegada4,9","Comunicación4,9","Ubicación4,7","Calidad4,7","Vistas al marVistas al jardínAcceso a la playa, primera líneaCocinaWifiAparcamiento gratuito en las instalacionesPiscina: uso De uso compartido, disponible todo el año, disponible en un horario específicoTelevisión de alta definición de 42"" con NetflixNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 58 servicios","Grau i Platja, Comunidad Valenciana, España"
3765214563568425932,Voramar 3 Playa Puerto de Sagunto,"Alojamiento entero: piso en Port de Sagunt, España",5 viajeros ·  · 2 dormitorios ·  · 4 camas ·  · 2 baños,8 evaluaciones,A pie de playa,98 € ,https://www.airbnb.es/rooms/920102069611458157?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1681778266&search_mode=flex_destinations_search&check_in=2024-04-26&check_out=2024-05-01&source_impression_id=p3_1710967159_ufBy1mjLPr%2B09SxL&previous_page_section_name=1000,"Limpieza4,8","Veracidad5,0","Llegada5,0","Comunicación5,0","Ubicación5,0","Calidad4,9","Vistas al marVistas al parqueAcceso a la playa, primera líneaCocinaWifiZona para trabajarAparcamiento gratuito en las instalacionesTVLavadoraNo disponible: Detector de humoDetector de humoMostrar los 23 servicios","Port de Sagunt, Comunidad Valenciana, EspañaSituado a 50 metros de la playa. Junto a todos los servicios, farmacia, centro de salud, cafeterías, restaurantes y zona de ocio.Además , los Jueves y Sábados , desde las 9:00 hasta las 13:30 puedes disfrutar del mercadillo callejero y comprar la fruta y verdura de los agricultores de la zona y encontrar alguna otra cosa interesante ya que es muy variado. ¡ No te lo pierdas ! . A 200 m del centro de localidad, a 5 km del centro histórico de Sagunto, y a 25 km de Valencia.Mostrar más"
2769223886427212663,Primera linea de playa adaptado movilidad reducida,"Alojamiento entero: piso en Benidorm, España",5 viajeros ·  · 3 dormitorios ·  · 4 camas ·  · 1 baño,16 evaluaciones,A pie de playa,94 € ,https://www.airbnb.es/rooms/44026735?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1408091021&search_mode=flex_destinations_search&check_in=2024-05-15&check_out=2024-05-22&source_impression_id=p3_1710967159_ysju4iSoRlpJiFuc&previous_page_section_name=1000,"Limpieza4,8","Veracidad4,8","Llegada4,9","Comunicación4,8","Ubicación5,0","Calidad4,6","Acceso a la playa, primera líneaCocinaWifi (25 Mbps)Aparcamiento gratuito en las instalacionesPiscinaTVLavadoraAire acondicionadoNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 26 servicios","Benidorm, Comunidad Valenciana, España"
8689080550819187113,3) Amplia hab. a pasos de playa.,"Habitación en Donostia, España",1 cama ·  · Baño compartido,8 evaluaciones,A pie de playa,120 € ,https://www.airbnb.es/rooms/886186959137688064?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1693121021&search_mode=flex_destinations_search&check_in=2024-07-01&check_out=2024-07-06&source_impression_id=p3_1710967164_qidfEjBj9BLciHsf&previous_page_section_name=1000,"Limpieza4,5","Veracidad4,8","Llegada4,9","Comunicación4,8","Ubicación5,0","Calidad4,4",Cerradura en la puerta del dormitorioAcceso a la playaCocinaWifiZona para trabajarLavadoraSecador de peloFrigoríficoNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 32 servicios,"Donostia, Euskadi, España"
-2498811209296481166,Una casa en primera línea de playa (VT-46948-V),"Alojamiento entero: piso en Playa, España",6 viajeros ·  · 3 dormitorios ·  · 4 camas ·  · 2 baños,54 evaluaciones,A pie de playa,104 € ,https://www.airbnb.es/rooms/28068305?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1262226739&search_mode=flex_destinations_search&check_in=2024-04-22&check_out=2024-04-27&source_impression_id=p3_1710967159_YMTAeDCN1IcJ4aoI&previous_page_section_name=1000,"Limpieza5,0","Veracidad5,0","Llegada5,0","Comunicación4,9","Ubicación4,9","Calidad4,9","Acceso a la playa, primera líneaCocinaWifiZona para trabajarAparcamiento gratuito en la calleTVLavadoraAire acondicionado centralizadoNo disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo disponible: Detector de humoDetector de humoMostrar los 46 servicios","Playa, Comunidad Valenciana, España"
-266642410705035547,Amatista Beachfront Departamento,"Alojamiento entero: piso en Calpe, España",3 viajeros ·  · 1 dormitorio ·  · 1 cama ·  · 1 baño,31 evaluaciones,A pie de playa,80 € ,https://www.airbnb.es/rooms/41498026?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=953072116&search_mode=flex_destinations_search&check_in=2024-05-14&check_out=2024-05-21&source_impression_id=p3_1710967156_zi2LJvNXjf7pYT0n&previous_page_section_name=1000,"Limpieza4,8","Veracidad4,8","Llegada5,0","Comunicación4,9","Ubicación4,9","Calidad4,7","Vistas a la montañaVistas al marAcceso a la playa, primera líneaCocinaWifi rápido (104 Mbps)Aparcamiento gratuito en las instalacionesPiscina De uso compartidoTVLavadora en el alojamiento (Gratis)No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoMostrar los 41 servicios","Calpe, Comunidad Valenciana, España"
