apart_id,Palabra Más Común
-9176329899050098805,solo
-9166107486530584756,en familia
-9149301768674427930,en pareja
-9072420480833505060,en pareja
-9013605875850264512,en pareja
-8999426193388283311,en pareja
-8996850747611453253,solo
-8943970776831000275,solo
-8935295201991868352,solo
-8898507616065421168,en familia
-8898452295368114873,en familia
-8870192508169425104,en pareja
-8854636247290428606,solo
-8797962339174616948,solo
-8760839921098433363,en pareja
-8758595834408196371,solo
-8726592472006277136,en familia
-8701427283866445966,en familia
-8697259104383872986,en pareja
-8686798600612151904,solo
-8686494177214349511,en pareja
-8606194464347628787,en pareja
-8598382227980450229,con amigos
-8515510798528275172,solo
-8506852451639458999,solo
-8504080300813303531,solo
-8451505283717774269,solo
-8448512435953593547,en pareja
-8443598907834718219,solo
-8398559881143275973,en pareja
-8365163451678187657,en pareja
-8359285587094464198,en pareja
-8354374332399119968,solo
-8329674616041212721,en pareja
-8329328007367532075,en pareja
-8327006422944799270,en familia
-8227430508600310036,con amigos
-8126619188474918405,solo
-8122355397352899918,en pareja
-8072145557550292689,solo
-8054441473101841920,en pareja
-8037941267812450360,solo
-8004760423036591170,con amigos
-7942178045623372620,en pareja
-7934614096641028967,en familia
-7921611350748222043,en pareja
-7893233308686200279,en familia
-7888845655885142389,en pareja
-7816011635547497990,en familia
-7806833975944397197,solo
-7791831028026804401,solo
-7783759056880316138,solo
-7742603011672401500,en pareja
-7713724805236632109,solo
-7706493922668444289,solo
-7705461824913013229,solo
-7688014550707447657,en familia
-7664982519626652512,en pareja
-7660678214718556796,con amigos
-7647961466797522548,solo
-7532640214510869373,en familia
-7530964113767441114,en familia
-7467781154899846440,con amigos
-7437156360191256342,en familia
-7428913604648945724,solo
-7403159499225727839,con amigos
-7379210424179741237,solo
-7373820725439386556,en familia
-7367195571076422069,en pareja
-7329210789044603581,solo
-7277475419674266779,solo
-7261398601945697566,en pareja
-7239995847751283722,solo
-7181319643536431562,solo
-7181180480011355336,solo
-7178634578291155662,en pareja
-7161080515786659811,en familia
-7122503004157926303,con amigos
-7047712390344773289,solo
-7037002170825445413,solo
-7018165104637998950,solo
-7009088269730530518,solo
-6985346805120418946,solo
-6905956863545861596,solo
-6878263978848072247,en familia
-6871326110400269516,solo
-6844547001802729180,solo
-6813789254903348513,solo
-6799727699588711552,en familia
-6798491501605794097,en pareja
-6669647486923420516,en familia
-6650050512063221056,en familia
-6641881689618050549,en familia
-6532242496633402555,en pareja
-6442659029891695430,en familia
-6361318265130281171,en pareja
-6349992846431640866,solo
-6277821541742214086,en pareja
-6240315808812174401,solo
-6132087228639566826,en pareja
-6114382656206641875,solo
-6071539263283880246,solo
-6049925865133946090,solo
-6039053190987211105,solo
-6019539889791494016,solo
-5997056852187655708,en familia
-5971741251524455209,en pareja
-5963189674589710259,solo
-5903490820418622970,en familia
-5891882700775731040,en pareja
-5890951023578523978,en familia
-5890186553866836606,solo
-5793714671435329275,con amigos
-5778558186671713096,solo
-5768439578340626636,en pareja
-5731950999808264088,solo
-5700885115754872219,solo
-5676213435293024423,solo
-5641397998359705652,en pareja
-5623041931914936386,en pareja
-5614431838070825263,solo
-5592803207044546307,solo
-5575624506227615145,solo
-5575370951967529092,solo
-5574663502272965298,solo
-5554226644630710958,en familia
-5529809867933441290,en pareja
-5497176614030964593,solo
-5492833076100608393,solo
-5489562714905313734,en familia
-5469478062891296012,en familia
-5450690734927631864,en familia
-5440476200912339700,solo
-5321303344691154923,solo
-5309886815488198597,en pareja
-5296674958678947416,en pareja
-5277116633141721311,en familia
-5271100041176673775,solo
-5127166085951180407,solo
-5042683833189700653,en pareja
-5014905063940189769,solo
-5001156861686234090,en familia
-4988737302774324583,en pareja
-4961415851156618531,en pareja
-4892138437205551662,en familia
-4831516274748151075,solo
-4828757525363273520,en pareja
-4823566728119500593,solo
-4818870875663414535,solo
-4794849319259552592,en pareja
-4780925937514619724,en pareja
-4763901449469041071,solo
-4759206826854812712,en pareja
-4664088482622404817,solo
-4623899618833157721,solo
-4505983526280704893,con amigos
-4501772151437015048,en familia
-4482666113782441285,solo
-4454278339480891347,en pareja
-4437873726556447645,solo
-4307897286580092495,con amigos
-4306009156009064035,en familia
-4267722079139559036,solo
-4244269354773126128,solo
-4238651288003983729,en familia
-4208598765107090829,en familia
-4201629960118638216,solo
-4112908243906594917,en familia
-4092822501865643947,en pareja
-4076920442088872466,en familia
-4061719029742412922,solo
-4033943304107340418,con amigos
-4008721355796441232,solo
-4008459704558112300,en pareja
-3997796137907843558,solo
-3993394239355062587,solo
-3931052512945053590,solo
-3908375797942458919,en pareja
-3846462903476572671,solo
-3774338133657114424,solo
-3723965476189920877,en pareja
-3656374028450561938,en familia
-3630165958695006611,en pareja
-3604514051648600868,en pareja
-3589680154264252237,en familia
-3566925535607794310,solo
-3561170181507614338,solo
-3543169005677057505,solo
-3459917951648182208,solo
-3437268493097879000,solo
