,apart_id,palabras_comunes
0,-9176329899050098805,"{'playa': 62, 'apartamento': 60, 'ubicación': 37, 'bien': 30, 'jaime': 28, 'cerca': 27, 'limpio': 26, 'restaurantes': 17, 'anfitrión': 15, 'buena': 15}"
1,-9166107486530584756,"{'casa': 122, 'jon': 55, 'bien': 39, 'bonita': 29, 'vista': 29, 'vistas': 24, 'agradable': 23, 'vasco': 22, 'ubicación': 21, 'gran': 21}"
2,-9149301768674427930,"{'apartamento': 11, 'cerca': 10, 'bien': 10, 'limpio': 9, 'christelle': 7, 'piso': 6, 'playa': 6, 'buena': 5, 'fácil': 5, 'zona': 4}"
3,-9072420480833505060,"{'casa': 5, 'árbol': 5, 'animales': 4, 'lugar': 4, 'naturaleza': 4, 'alicia': 3, 'niños': 3, 'medio': 3, 'comida': 3, 'experiencia': 2}"
4,-9013605875850264512,"{'hegoi': 13, 'apartamento': 11, 'bien': 7, 'playa': 6, 'plaza': 6, 'ubicación': 5, 'zarautz': 5, 'piso': 4, 'cerca': 4, 'agradable': 3}"
5,-8999426193388283311,"{'lugar': 4, 'casa': 4, 'piscina': 4, 'luis': 3, 'perfecto': 3, 'desconectar': 3, '100': 3, 'visitar': 2, 'cádiz': 2, 'jerez': 2}"
6,-8996850747611453253,"{'casa': 52, 'cabaña': 48, 'alejandro': 34, 'lugar': 29, 'bien': 26, 'desconectar': 22, 'sitio': 19, 'piscina': 19, 'acogedora': 16, 'necesario': 15}"
7,-8943970776831000275,"{'ubicación': 54, 'habitación': 43, 'bien': 31, 'limpio': 20, 'playa': 18, 'cerca': 16, 'buena': 16, 'excelente': 15, 'si': 13, 'jon': 13}"
8,-8935295201991868352,"{'nuno': 78, 'bungalow': 55, 'lugar': 39, 'bien': 35, 'playa': 33, 'casa': 33, 'cerca': 26, 'anfitrión': 22, 'ubicación': 22, 'tranquilo': 21}"
9,-8898507616065421168,"{'juan': 30, 'casa': 28, 'anfitrión': 10, 'ubicación': 10, 'preciosa': 7, 'playa': 7, 'cerca': 7, 'gran': 6, 'metro': 6, 'gusto': 5}"
10,-8898452295368114873,"{'chalet': 62, 'bien': 60, 'vistas': 58, 'cabaña': 52, 'vista': 41, 'agradable': 40, 'lugar': 35, 'alojamiento': 33, 'tranquilo': 33, 'gusto': 30}"
11,-8870192508169425104,"{'casa': 51, 'eva': 47, 'verde': 31, 'casita': 28, 'lugar': 21, 'detalles': 17, 'vistas': 16, 'duda': 15, 'atenta': 13, 'increíble': 13}"
12,-8854636247290428606,"{'bien': 30, 'vistas': 17, 'agradable': 16, 'apartamento': 13, 'alojamiento': 13, 'chalet': 11, 'casa': 9, 'buena': 9, 'equipado': 8, 'cocina': 7}"
13,-8797962339174616948,"{'casa': 5, 'día': 3, 'noche': 3, 'siguiente': 3, 'lado': 3, 'playa': 3, 'villa': 3, 'grande': 2, 'encantadora': 2, 'así': 2}"
14,-8760839921098433363,"{'bien': 10, 'alojamiento': 8, 'buen': 8, 'cómodo': 7, 'apartamento': 5, 'limpio': 4, 'experiencia': 4, 'dos': 4, 'buena': 3, 'anfitrión': 3}"
15,-8758595834408196371,"{'playa': 11, 'apartamento': 10, 'restaurantes': 4, 'valencia': 4, 'terraza': 3, 'minutos': 3, 'gracias': 3, 'amparo': 3, 'casa': 3, 'pina': 3}"
16,-8726592472006277136,"{'chalet': 26, 'bien': 21, 'sacha': 14, 'agradable': 12, 'cabaña': 10, 'casa': 10, 'limpio': 9, 'vistas': 9, 'alojamiento': 9, 'vista': 8}"
17,-8701427283866445966,"{'casa': 34, 'bien': 30, 'vistas': 21, 'guillaume': 18, 'agradable': 17, 'entorno': 16, 'tranquilo': 13, 'valle': 13, 'equipado': 11, 'vista': 11}"
18,-8697259104383872986,"{'bonito': 5, 'edificio': 4, 'apartamento': 4, 'vistas': 4, 'piscina': 4, 'tranquilo': 4, 'excelente': 4, 'ubicación': 3, 'mar': 3, 'playa': 3}"
19,-8686798600612151904,"{'cabaña': 32, 'célia': 23, 'naturaleza': 19, 'lugar': 19, 'bien': 14, 'agradable': 13, 'recomiendo': 13, 'gracias': 12, 'bienvenida': 11, 'entorno': 11}"
20,-8686494177214349511,"{'apartamento': 16, 'vistas': 15, 'ignacio': 9, 'ubicación': 7, 'altea': 7, 'mar': 6, 'vista': 6, 'bien': 6, 'unas': 5, 'bonito': 5}"
21,-8606194464347628787,"{'sylvie': 41, 'alojamiento': 33, 'lago': 23, 'entorno': 20, 'lugar': 20, 'gracias': 18, 'jacuzzi': 16, 'agradable': 15, 'perfecto': 14, 'magnífico': 13}"
22,-8598382227980450229,"{'casa': 61, 'tommy': 31, 'bien': 24, 'pasar': 14, 'anfitrión': 14, 'amigos': 13, 'semana': 12, 'fin': 11, 'atento': 11, 'cama': 10}"
23,-8515510798528275172,"{'apartamento': 22, 'playa': 18, 'gracia': 16, 'ubicación': 13, 'altea': 10, 'limpio': 10, 'bien': 8, 'recomendaciones': 8, 'necesario': 7, 'anfitrión': 7}"
24,-8506852451639458999,"{'apartamento': 58, 'bien': 41, 'vistas': 23, 'françois': 20, 'limpio': 19, 'vista': 17, 'golf': 17, 'equipado': 16, 'agradable': 15, 'alojamiento': 14}"
25,-8504080300813303531,"{'fran': 77, 'cabaña': 42, 'cabañas': 35, 'lugar': 25, 'bien': 22, 'naturaleza': 21, 'experiencia': 20, 'desconectar': 19, 'perfecto': 19, 'atento': 18}"
26,-8451505283717774269,"{'casa': 120, 'vistas': 51, 'pablo': 46, 'terraza': 36, 'lugar': 35, 'bien': 28, 'silvina': 28, 'si': 26, 'desconectar': 25, 'anfitriones': 24}"
27,-8448512435953593547,"{'camping': 8, 'limpio': 7, 'lugar': 6, 'bien': 6, 'playa': 6, 'lado': 6, 'acogedor': 5, 'cama': 5, 'súper': 5, 'tranquilo': 4}"
28,-8443598907834718219,"{'bien': 18, 'apartamento': 17, 'terraza': 8, 'situado': 7, 'equipado': 6, 'lola': 6, 'centro': 6, 'françois': 6, 'vistas': 5, 'ubicado': 4}"
29,-8398559881143275973,"{'casa': 3, 'gas': 3, 'cómoda': 2, 'placer': 2, 'alojamiento': 2, 'perros': 2, 'van': 2, 'eléctrica': 2, '2': 2, 'enorme': 2}"
30,-8365163451678187657,"{'chalet': 42, 'bien': 41, 'lago': 40, 'agradable': 38, 'océano': 31, 'alojamiento': 22, 'pinos': 22, 'cabaña': 19, 'situado': 18, 'tranquilo': 18}"
31,-8359285587094464198,"{'cabaña': 64, 'lugar': 30, 'desconectar': 29, 'héctor': 28, 'naturaleza': 21, 'si': 20, 'duda': 20, 'tranquilo': 19, 'atento': 19, 'vistas': 19}"
32,-8354374332399119968,"{'bien': 64, 'apartamento': 56, 'situado': 30, 'garaje': 21, 'bonito': 21, 'agradable': 19, 'equipado': 17, 'roger': 16, 'alojamiento': 16, 'ubicación': 16}"
33,-8329674616041212721,"{'gheorghe': 4, 'habitación': 3, 'limpio': 3, 'bien': 3, 'casa': 2, 'madre': 2, 'baño': 2, 'sido': 2, 'anfitrión': 2, '100': 2}"
34,-8329328007367532075,"{'cabaña': 56, 'nathalie': 47, 'bien': 24, 'lugar': 21, 'daniel': 21, 'naturaleza': 20, 'entorno': 18, 'miel': 13, 'gran': 13, 'tranquilo': 13}"
35,-8327006422944799270,"{'bien': 12, 'apartamento': 6, 'alojamiento': 6, 'vacaciones': 5, 'agradable': 4, 'pistas': 4, 'gracias': 4, 'ubicación': 3, 'limpieza': 3, 'unas': 3}"
36,-8227430508600310036,"{'apartamento': 17, 'playa': 17, 'bien': 14, 'cerca': 11, 'somo': 8, 'piso': 8, 'anfitriona': 7, 'ubicación': 7, 'zona': 7, 'buena': 6}"
37,-8126619188474918405,"{'ildeberto': 83, 'lugar': 56, 'casa': 51, 'anfitrión': 45, 'sr': 41, 'amable': 37, 'vino': 33, 'bien': 29, 'espacio': 23, 'naturaleza': 23}"
38,-8122355397352899918,"{'casa': 7, 'bien': 3, 'limpia': 3, 'genial': 3, 'necesario': 3, 'jan': 3, 'd': 2, 'detalles': 2, 'bueno': 2, 'super': 2}"
39,-8072145557550292689,"{'casa': 15, 'agradable': 6, 'hormigas': 6, 'jorge': 6, 'piscina': 6, 'anfitrión': 5, 'suelo': 4, 'grande': 4, 'sido': 4, 'tranquila': 3}"
40,-8054441473101841920,"{'casa': 8, 'lugar': 5, 'cláudia': 3, 'siempre': 3, 'acogedor': 3, 'súper': 3, 'parque': 3, 'volveremos': 3, 'acogedora': 3, 'equipada': 3}"
41,-8037941267812450360,"{'apartamento': 25, 'maría': 20, 'playa': 14, 'vistas': 8, 'piso': 8, 'vista': 8, 'q': 8, 'duda': 6, 'frío': 6, 'primera': 5}"
42,-8004760423036591170,"{'casa': 78, 'vistas': 34, 'bien': 23, 'unas': 20, 'genial': 17, 'manuel': 15, 'fotos': 15, 'juan': 15, 'fin': 14, 'recomendable': 14}"
43,-7942178045623372620,"{'bien': 50, 'apartamento': 48, 'william': 46, 'biarritz': 30, 'playa': 28, 'ubicación': 27, 'situado': 26, 'anfitrión': 20, 'alojamiento': 20, 'agradable': 20}"
44,-7934614096641028967,"{'bien': 38, 'chalet': 21, 'cabaña': 18, 'agradable': 17, 'vistas': 13, 'equipado': 13, 'alojamiento': 13, 'situado': 12, 'ubicación': 10, 'pistas': 10}"
45,-7921611350748222043,"{'alojamiento': 8, 'sergio': 6, 'limpio': 5, 'amable': 5, 'apartamento': 4, 'cómodo': 4, 'buena': 4, 'nuevo': 4, 'sitio': 4, 'pueblo': 4}"
46,-7893233308686200279,"{'bien': 11, 'apartamento': 10, 'situado': 5, 'cerca': 5, 'centro': 4, 'ciudad': 4, 'ubicación': 4, 'equipado': 3, 'bonito': 3, 'ubicado': 3}"
47,-7888845655885142389,"{'casa': 13, 'bien': 3, 'habitaciones': 3, 'ubicación': 2, 'tranquilo': 2, 'lugar': 2, 'recomendable': 2, 'si': 2, 'vistas': 2, 'increíble': 2}"
48,-7816011635547497990,"{'lugar': 20, 'bien': 14, 'naturaleza': 12, 'entorno': 11, 'agradable': 11, 'chalet': 10, 'cabaña': 9, 'casa': 8, 'desconexión': 7, 'familia': 7}"
49,-7806833975944397197,"{'apartamento': 19, 'ciprian': 12, 'bien': 11, 'cerca': 9, 'anfitrión': 7, 'piso': 7, 'excelente': 6, 'playa': 6, 'alojamiento': 6, 'gracias': 5}"
50,-7791831028026804401,"{'lugar': 42, 'casa': 34, 'christine': 22, 'tranquilo': 20, 'alojamiento': 20, 'bien': 18, 'anfitriones': 17, 'entorno': 17, 'campo': 17, 'naturaleza': 15}"
51,-7783759056880316138,"{'cabaña': 54, 'camping': 23, 'experiencia': 22, 'baño': 18, 'telmo': 18, 'bien': 17, 'lugar': 16, 'gran': 15, 'anfitrión': 13, 'restaurante': 12}"
52,-7742603011672401500,"{'mariló': 17, 'casa': 12, 'anfitriona': 8, 'desconectar': 7, 'genial': 6, 'tranquilo': 6, 'apartamento': 6, 'sitio': 5, 'zona': 5, 'recomendable': 5}"
53,-7713724805236632109,"{'casa': 39, 'arantza': 11, 'bien': 9, 'anfitriones': 8, 'lugar': 8, 'madrid': 8, 'acogedora': 8, 'agradable': 7, 'zona': 6, 'vistas': 6}"
