iter	RMSE
0	0.4927618875
1	0.4895797013
2	0.4866759952
3	0.4844256426
4	0.4819870419
5	0.4797837759
6	0.4781064571
7	0.4764945499
8	0.4746359676
9	0.473204266
10	0.471766893
11	0.4702455306
12	0.4688373667
13	0.4677324528
14	0.4663997682
15	0.4651979753
16	0.4641460683
17	0.4630195857
18	0.4621199105
19	0.4612474182
20	0.4601018748
21	0.4593579014
22	0.4585906169
23	0.4580590062
24	0.4575285014
25	0.4568162667
26	0.4562882447
27	0.4556935697
28	0.4549805168
29	0.4545317639
30	0.454072083
31	0.4536111744
32	0.4530156925
33	0.452510909
34	0.4521302927
35	0.4515831293
36	0.4511445092
37	0.4508160223
38	0.4503006222
39	0.4499092911
40	0.4496382196
41	0.4493020398
42	0.4489782189
43	0.4485160603
44	0.4482568806
45	0.4479604187
46	0.4476194783
47	0.4473699278
48	0.4470633028
49	0.4467495061
50	0.4465474808
51	0.4461709712
52	0.4459119856
53	0.4457227216
54	0.4455567044
55	0.4452722635
56	0.4449851222
57	0.4446772383
58	0.4444419992
59	0.4441836185
60	0.4439463876
61	0.4438088118
62	0.443596389
63	0.44335226
64	0.4429886607
65	0.4426429904
66	0.4423992153
67	0.4422704905
68	0.4421695418
69	0.4421395249
70	0.4420316687
71	0.441842931
72	0.4416410582
73	0.4413371625
74	0.4411910099
75	0.4410777265
76	0.4408811784
77	0.4407876353
78	0.4406422634
79	0.4403783509
80	0.4402876657
81	0.4401668518
82	0.440125728
83	0.4399470157
84	0.4398351116
85	0.4396500995
86	0.4395917616
87	0.4395019392
88	0.4393121402
89	0.4392464922
90	0.4391019215
91	0.4390531969
92	0.4389441708
93	0.4387870263
94	0.4386412587
95	0.4384881387
96	0.438407933
97	0.4383261327
98	0.4381160399
99	0.4380268811
100	0.4379108432
101	0.4377198217
102	0.4374925721
103	0.4374204871
104	0.4372867714
105	0.4372307639
106	0.4371578107
107	0.4368711882
108	0.436684744
109	0.436553165
110	0.4365115795
111	0.4363933674
112	0.4362682901
113	0.4361462486
114	0.4359474064
115	0.4358787887
116	0.4358139584
117	0.4356335555
118	0.4354669796
119	0.4353568704
120	0.4351947724
121	0.4351120835
122	0.4350838972
123	0.4350747776
124	0.4349817233
125	0.4349037032
126	0.4347764586
127	0.4346751426
128	0.4345705343
129	0.4344777129
130	0.4343645923
131	0.4342801274
132	0.4341990239
133	0.4341952464
134	0.4341210548
135	0.4339230148
136	0.4337294126
137	0.4336575862
138	0.4336038728
139	0.4335220713
140	0.4333453081
141	0.4332282899
142	0.4331458926
143	0.4329984173
144	0.4329200859
145	0.4326593284
146	0.4325923745
147	0.4323734245
148	0.4323049627
149	0.4322404526
150	0.4321265016
151	0.4319708008
