iter	Passed	Remaining
0	4	4788
1	11	5692
2	14	4876
3	18	4684
4	21	4368
5	24	4122
6	27	3923
7	29	3694
8	31	3476
9	33	3287
10	35	3154
11	36	3018
12	38	2924
13	40	2876
14	42	2800
15	44	2741
16	46	2688
17	48	2664
18	50	2623
19	52	2571
20	54	2524
21	55	2487
22	57	2456
23	59	2421
24	61	2410
25	63	2394
26	65	2370
27	67	2347
28	69	2326
29	71	2313
30	73	2300
31	75	2286
32	77	2278
33	79	2271
34	82	2264
35	84	2261
36	87	2267
37	90	2302
38	93	2301
39	95	2299
40	98	2293
41	100	2285
42	102	2277
43	105	2288
44	108	2296
45	110	2295
46	112	2289
47	114	2280
48	117	2273
49	119	2278
50	121	2268
51	123	2260
52	126	2252
53	128	2244
54	130	2234
55	132	2226
56	134	2220
57	136	2217
58	140	2234
59	142	2235
60	146	2250
61	149	2266
62	152	2262
63	154	2258
64	157	2263
65	160	2271
66	163	2271
67	170	2333
68	174	2357
69	177	2359
70	181	2371
71	187	2414
72	190	2414
73	193	2419
74	196	2418
75	198	2419
76	203	2434
77	206	2440
78	209	2442
79	212	2443
80	215	2443
81	218	2444
82	222	2459
83	225	2461
84	228	2457
85	231	2455
86	234	2464
87	238	2469
88	241	2468
89	243	2462
90	246	2461
91	249	2461
92	252	2459
93	255	2457
94	257	2451
95	259	2445
96	262	2443
97	265	2442
98	268	2440
99	270	2435
100	273	2432
101	275	2427
102	278	2427
103	281	2425
104	284	2422
105	286	2419
106	289	2416
107	292	2412
108	295	2411
109	298	2414
110	302	2422
111	306	2428
112	310	2439
113	313	2439
114	317	2444
115	321	2446
116	324	2451
117	335	2508
118	339	2510
119	343	2515
120	346	2515
121	349	2512
122	351	2509
123	354	2506
124	358	2506
125	361	2509
126	364	2508
127	368	2508
128	371	2508
129	374	2508
130	377	2506
131	380	2501
132	382	2495
133	384	2482
134	386	2478
135	389	2477
136	392	2475
137	395	2471
138	398	2466
139	400	2460
140	402	2454
141	405	2451
142	408	2448
143	410	2441
144	413	2435
145	415	2430
146	417	2424
147	420	2422
148	424	2424
149	427	2419
150	429	2415
151	432	2410
152	434	2405
153	437	2405
154	441	2405
155	444	2403
156	446	2397
157	449	2392
158	452	2392
159	455	2393
160	459	2392
161	462	2393
162	465	2391
163	468	2388
164	473	2398
165	477	2398
166	480	2397
167	486	2409
168	489	2407
169	492	2405
170	495	2402
171	498	2401
172	502	2401
173	508	2414
174	512	2417
175	515	2415
176	524	2440
177	528	2442
178	550	2525
179	558	2543
180	565	2558
181	572	2575
182	580	2590
183	586	2602
184	594	2618
185	602	2634
186	607	2642
187	614	2656
188	621	2666
189	629	2681
190	635	2692
191	642	2701
192	650	2719
193	658	2737
194	666	2749
195	674	2768
196	684	2789
197	692	2803
198	704	2837
199	714	2857
200	719	2861
201	727	2873
202	733	2878
203	737	2879
204	747	2899
205	753	2903
206	759	2911
207	765	2914
208	771	2919
209	778	2929
210	788	2949
211	796	2961
212	806	2978
213	813	2987
214	820	2996
215	827	3005
216	834	3009
217	849	3045
218	854	3048
219	858	3044
220	862	3040
221	865	3032
222	868	3027
223	872	3023
224	875	3016
225	878	3010
226	882	3004
227	885	2999
228	888	2993
229	902	3020
230	909	3028
231	915	3029
232	924	3041
233	931	3050
234	936	3048
235	940	3044
236	945	3042
237	951	3046
238	955	3043
239	959	3038
240	965	3039
241	969	3037
242	973	3031
243	976	3024
244	979	3019
245	983	3015
246	987	3010
247	992	3009
248	995	3003
249	999	2997
250	1003	2995
251	1007	2989
252	1011	2985
253	1015	2982
254	1019	2977
255	1022	2971
256	1026	2968
257	1031	2965
258	1036	2964
259	1040	2961
260	1044	2958
261	1049	2956
262	1054	2954
263	1058	2950
264	1062	2945
265	1065	2940
266	1068	2934
267	1071	2927
268	1076	2924
269	1080	2920
270	1084	2916
271	1087	2910
272	1091	2905
273	1094	2900
274	1098	2896
275	1102	2893
276	1106	2887
277	1110	2883
278	1115	2882
279	1119	2879
280	1123	2875
281	1129	2874
282	1132	2869
283	1135	2863
284	1140	2860
285	1144	2857
286	1148	2853
287	1151	2847
288	1155	2843
289	1160	2841
290	1166	2841
291	1170	2836
292	1175	2835
293	1179	2831
294	1182	2827
295	1186	2821
296	1190	2819
297	1194	2813
298	1197	2808
299	1201	2802
300	1204	2797
301	1208	2793
302	1211	2787
303	1214	2781
304	1217	2775
305	1224	2776
306	1227	2771
307	1230	2765
308	1235	2761
309	1239	2758
310	1242	2753
311	1246	2747
312	1249	2741
313	1252	2737
314	1256	2732
315	1260	2728
316	1263	2722
317	1267	2718
318	1272	2715
319	1276	2711
320	1280	2708
321	1285	2705
322	1289	2701
323	1292	2696
324	1295	2691
325	1298	2685
326	1302	2680
327	1305	2675
328	1309	2670
329	1312	2664
330	1315	2657
331	1318	2652
332	1321	2646
333	1325	2642
334	1330	2640
335	1335	2640
336	1340	2637
337	1344	2633
338	1350	2633
339	1355	2630
340	1359	2627
341	1368	2632
342	1372	2629
343	1377	2626
344	1386	2631
345	1392	2631
346	1404	2643
347	1409	2640
348	1414	2637
349	1417	2632
350	1420	2626
351	1424	2623
352	1429	2619
353	1434	2617
354	1439	2616
355	1443	2611
356	1447	2606
357	1450	2600
358	1453	2595
359	1456	2589
360	1461	2586
361	1464	2581
362	1468	2576
363	1471	2571
364	1474	2565
365	1479	2562
366	1482	2557
367	1486	2553
368	1490	2549
369	1494	2544
370	1498	2539
371	1500	2533
372	1503	2527
373	1506	2521
374	1510	2516
375	1512	2510
376	1515	2504
377	1518	2498
378	1521	2492
379	1524	2487
380	1527	2481
381	1530	2475
382	1532	2469
383	1535	2463
384	1539	2458
385	1542	2453
386	1545	2447
387	1548	2442
388	1551	2436
389	1554	2430
390	1557	2425
391	1560	2420
392	1563	2414
393	1566	2408
394	1568	2402
395	1572	2398
396	1575	2392
397	1577	2386
398	1580	2380
399	1583	2374
400	1585	2368
401	1588	2363
402	1590	2356
403	1593	2350
404	1595	2344
405	1598	2338
406	1600	2332
407	1603	2326
408	1606	2320
409	1608	2314
410	1611	2308
411	1613	2302
412	1616	2296
413	1619	2292
414	1621	2286
415	1624	2280
416	1627	2275
417	1630	2270
418	1633	2264
419	1636	2259
420	1638	2253
421	1641	2248
422	1644	2243
423	1647	2238
424	1651	2234
425	1654	2229
426	1657	2223
427	1660	2219
428	1663	2214
429	1667	2210
430	1670	2204
431	1672	2199
432	1675	2193
433	1677	2188
434	1682	2184
435	1686	2181
436	1690	2177
437	1693	2172
438	1696	2168
439	1700	2164
440	1703	2159
441	1707	2155
442	1710	2150
443	1713	2145
444	1716	2141
445	1719	2135
446	1722	2131
447	1725	2126
448	1728	2121
449	1732	2118
450	1735	2112
451	1738	2107
452	1740	2101
453	1743	2096
454	1746	2091
455	1748	2085
456	1751	2080
457	1755	2077
458	1758	2072
459	1761	2068
460	1764	2062
461	1766	2057
462	1769	2052
463	1772	2047
464	1776	2043
465	1780	2039
466	1783	2035
467	1785	2030
468	1788	2025
469	1793	2021
470	1796	2017
471	1799	2012
472	1802	2008
473	1806	2004
474	1809	2000
475	1813	1996
476	1818	1994
477	1823	1991
478	1829	1989
479	1832	1985
480	1837	1983
481	1842	1979
482	1845	1975
483	1849	1971
484	1853	1967
485	1856	1963
486	1860	1959
487	1863	1955
488	1866	1950
489	1870	1946
490	1874	1942
491	1878	1939
492	1881	1935
493	1885	1931
494	1890	1929
495	1894	1925
496	1897	1920
497	1901	1916
498	1907	1914
499	1910	1910
500	1914	1906
501	1917	1902
502	1922	1899
503	1925	1895
504	1929	1890
505	1932	1886
506	1935	1882
507	1939	1878
508	1943	1874
509	1945	1869
510	1949	1865
511	1954	1863
512	1957	1858
513	1961	1854
514	1965	1851
515	1970	1847
516	1973	1843
517	1976	1839
518	1979	1834
519	1982	1830
520	1986	1826
521	1989	1821
522	1992	1817
523	1995	1812
524	1998	1807
525	2001	1803
526	2004	1799
527	2007	1794
528	2010	1789
529	2013	1785
530	2016	1780
531	2019	1776
532	2023	1772
533	2026	1768
534	2029	1763
535	2033	1760
536	2036	1756
537	2039	1751
538	2042	1746
539	2045	1742
540	2048	1738
541	2052	1734
542	2055	1729
543	2058	1725
544	2061	1720
545	2066	1718
546	2069	1713
547	2071	1708
548	2074	1703
549	2076	1699
550	2081	1696
551	2085	1692
552	2092	1691
553	2097	1688
554	2101	1684
555	2105	1681
556	2107	1676
557	2111	1672
558	2115	1669
559	2118	1664
560	2121	1660
561	2124	1655
562	2128	1651
563	2131	1647
564	2134	1643
565	2137	1638
566	2140	1634
567	2144	1630
568	2147	1626
569	2150	1622
570	2153	1617
571	2156	1613
572	2159	1609
573	2163	1605
574	2166	1601
575	2168	1596
576	2171	1591
577	2174	1587
578	2177	1583
579	2180	1579
580	2183	1574
581	2186	1570
582	2189	1566
583	2193	1562
584	2196	1558
585	2199	1553
586	2202	1549
587	2206	1546
588	2209	1542
589	2212	1537
590	2216	1533
591	2219	1529
592	2223	1525
593	2226	1521
594	2228	1517
595	2231	1512
596	2234	1508
597	2238	1504
598	2241	1500
599	2244	1496
600	2247	1491
601	2249	1487
602	2252	1483
603	2257	1479
604	2260	1475
605	2263	1471
606	2266	1467
607	2270	1463
608	2274	1460
609	2277	1456
610	2280	1451
611	2283	1447
612	2288	1444
613	2291	1440
614	2294	1436
615	2297	1432
616	2300	1428
617	2304	1424
618	2307	1420
619	2310	1415
620	2312	1411
621	2315	1407
622	2319	1403
623	2322	1399
624	2325	1395
625	2327	1390
626	2330	1386
627	2334	1382
628	2337	1378
629	2339	1374
630	2342	1369
631	2344	1365
632	2347	1360
633	2351	1357
634	2353	1352
635	2356	1348
636	2358	1344
637	2361	1339
638	2363	1335
639	2367	1331
640	2370	1327
641	2373	1323
642	2375	1318
643	2378	1314
644	2382	1311
645	2385	1306
646	2387	1302
647	2389	1298
648	2393	1294
649	2397	1291
650	2401	1287
651	2404	1283
652	2406	1278
653	2409	1274
654	2413	1271
655	2416	1267
656	2419	1263
657	2422	1258
658	2424	1254
659	2427	1250
660	2431	1247
661	2434	1242
662	2437	1238
663	2439	1234
664	2442	1230
665	2446	1226
666	2449	1222
667	2451	1218
668	2454	1214
669	2456	1209
670	2459	1206
671	2464	1202
672	2467	1198
673	2470	1194
674	2473	1190
675	2477	1187
676	2480	1183
677	2483	1179
678	2486	1175
679	2490	1171
680	2495	1169
681	2498	1165
682	2501	1161
683	2504	1157
684	2508	1153
685	2513	1150
686	2516	1146
687	2519	1142
688	2523	1139
689	2528	1135
690	2531	1131
691	2534	1127
692	2538	1124
693	2544	1122
694	2547	1118
695	2551	1114
696	2554	1110
697	2560	1107
698	2563	1103
699	2566	1099
700	2569	1096
701	2574	1092
702	2578	1089
703	2581	1085
704	2584	1081
705	2588	1078
706	2592	1074
707	2596	1070
708	2599	1066
709	2602	1063
710	2608	1060
711	2612	1056
712	2615	1052
713	2619	1049
714	2624	1046
715	2628	1042
716	2631	1038
717	2634	1034
718	2638	1031
719	2641	1027
720	2644	1023
721	2647	1019
722	2651	1015
723	2655	1012
724	2657	1008
725	2660	1004
726	2663	1000
727	2666	996
728	2670	992
729	2673	988
730	2675	984
731	2678	980
732	2681	976
733	2684	972
734	2687	968
735	2689	964
736	2692	960
737	2694	956
738	2698	952
739	2700	948
740	2703	944
741	2705	940
742	2707	936
743	2710	932
744	2713	928
745	2716	924
746	2718	920
747	2720	916
748	2723	912
749	2726	908
750	2728	904
751	2731	900
752	2734	897
753	2737	893
754	2739	889
755	2742	885
756	2745	881
757	2749	877
758	2752	874
759	2755	870
760	2759	866
761	2762	862
762	2765	859
763	2768	855
764	2771	851
765	2774	847
766	2776	843
767	2780	839
768	2783	836
769	2786	832
770	2790	828
771	2793	825
772	2798	821
773	2801	817
774	2804	814
775	2807	810
776	2812	807
777	2815	803
778	2819	799
779	2822	796
780	2827	792
781	2829	788
782	2833	785
783	2836	781
784	2839	777
785	2844	774
786	2847	770
787	2850	766
788	2853	763
789	2858	759
790	2862	756
791	2865	752
792	2868	748
793	2872	745
794	2876	741
795	2880	738
796	2883	734
797	2886	730
798	2891	727
799	2896	724
800	2898	720
801	2902	716
802	2906	712
803	2911	709
804	2915	706
805	2919	702
