usuario,sel_1,sel_2,sel_3,sel_4,sel_5
10000,-8390108235627576366,-3138219882175205538,8308213368806481035,8211373909775178827,-1432358100458289325
10001,8895529179959636961,3895407775836018527,-2390442288132293716,1775999145173128778,-295097034067684803
10002,-3008428777850710033,-928803285642109899,8183359886686117364,4241132628742319289,737674377621182415
10003,574274869414188205,-4495528556875957099,-3334783846902688749,-8806996031004296536,8623733178824514382
10004,7475883085520280465,1943721609238702070,-8978065787119330319,-4482585003936581805,2681168736206979326
10005,-5911885070670999742,-2025904901959071415,432576205179580957,-3116953626790052479,-1012868536794621388
10006,-8603280979690348651,-7697426973369677795,7927999037436552475,-6688168382165551527,-4522649842937036109
10007,-5431529901204509063,8017006772594721126,2424814456830639830,8743239805383285325,3924448245927217240
10008,6611725895867949235,2426897800073657147,-6794297740811062921,-5306769257719839751,-4482585003936581805
10009,6507064113374301809,3351693339776523184,-6149704023514103132,5375220911806434689,-4096577443557794708
10010,-4356816748059674731,3677583094394194154,3204962563970383472,-6926846800221086622,-3180383507895937370
10011,4618545289600411051,4758838132444054356,-570675812966977905,1048863660622758271,-5540846276155511207
10012,2686782458304900823,5144058809419706660,7223318883356768382,-6003217840797350022,7927999037436552475
10013,-6381071431264560084,177556378828895570,-2477486451340531035,580117112909997967,3718861584236572310
10014,-14186533122971049,7475883085520280465,-8934615166486563289,1162725756826668867,-570675812966977905
10015,-5974539634920910057,-2359813247926161976,474622895848387870,4416865451383056497,-2346841532637700736
10016,6784421588856682498,-3279383283905700298,-4253681712071646644,2378515007730241472,-2519502921510938645
10017,3429919109430724433,-2366543358471998352,8575452651187849010,-3926801152657677891,-3002765929807649220
10018,7223318883356768382,821301093005175609,1172886287363506379,-8282163302558627005,-7438791048011522150
10019,7844101505092971868,561242762053072243,1162038084588907279,2775983923439015055,-4293033159115947915
10020,2403133677327962402,5711111348941362420,4618545289600411051,5031386748537440937,-5128363282464674389
10021,-5427031063287844603,247645787226086785,5711111348941362420,9007452394790111647,2997807136505685351
10022,3965237201609976058,-5002520654055605127,8132379121313357070,691667697867965088,9152823195770702014
10023,1968499624217831363,-5264584580483673442,8867822074980456311,8803251916456154612,-2835752297615929700
10024,-8568959787240176783,7457761470638791806,8969703790681383447,-2477486451340531035,-3128767587247756336
10025,-2428494937578105259,-1614050928225316125,-4482585003936581805,9152823195770702014,-1426752019376808262
10026,-6152625737916378853,1775999145173128778,4829389315014803698,7066008710646882331,-143345179733476777
10027,6874635148631372264,-6300847010387266896,3700804074862196577,2775983923439015055,5636456835927888265
10028,-2847256410499284653,-5796730045622617061,-3116953626790052479,-8066308401797512399,4520132844155930819
10029,-3656947132094203744,7463450021850014053,2686782458304900823,-4078150639788075976,-5996921154498304162
10030,-5499136637783497360,705273301184972442,-8642363813335822453,2271551511014605752,8025293178222980324
10031,8375505284448445261,6188717995007037988,4943721939725773918,-5778836678835475641,2134403201690431677
10032,-1738707113332510785,5446267853190740821,7917138518710833645,5188466438025550186,-673511504732113143
10033,-8109900386158696650,-3035071777071952296,-228923427085044298,6403198657774209700,1170742901516097627
10034,-2390442288132293716,2763713365585941526,5778400207526741149,-7280923533042302322,9172786718954809297
10035,-1192057848630915341,821301093005175609,7364400496265336379,-6417195221782878321,-5575294575994998013
10036,-6794297740811062921,6188717995007037988,-8439272787301215339,3628569544147212998,-3035071777071952296
10037,-2912441540787268215,-8037949015882984585,8406059261340017024,-7436387761851773141,-5812615710708829453
10038,2364241470440086658,-1103865264389906496,2271551511014605752,294492972406223840,-7863024033894147483
10039,-1689836769066795266,574274869414188205,-2912441540787268215,9029504065346136790,-7152446916346451574
10040,-5499136637783497360,-5778836678835475641,6310475058634862736,8025293178222980324,8867822074980456311
10041,-2726406077813968697,-1678464252105620859,-3855795429618827384,-9165053912273650312,6024953805313656676
10042,-7436387761851773141,6188717995007037988,8576219087992372316,7542184115404817883,4726750598855623504
10043,6817319126172009200,-1222790994867438985,3895407775836018527,-1414555479123615510,-1272866051620735168
10044,7364400496265336379,-6113079325885043410,8132379121313357070,-3054667323950936384,1548430276049687218
10045,3963342754053790134,8628248087446729816,7066008710646882331,-6149704023514103132,-6300847010387266896
10046,8375505284448445261,3120992485132690626,3738435336298044795,8689080550819187113,7844101505092971868
10047,-8282163302558627005,4333987024200724208,-3926801152657677891,-7199219767549824387,-1067280139729485434
10048,506503168134593919,4951856184783468051,7539816658952289493,-1776173517550168064,7917138518710833645
10049,-750353640095145540,7090421578384454300,-6926846800221086622,1014630515723910692,-5336119957687378547
10050,8481105237095358316,4034832210205529735,2403133677327962402,-4480529635376479031,-5851433014883401834
10051,-5738854232286714133,1444100291096625572,-7338806376820266343,-4410351912950176406,-4621920919987437287
10052,8867822074980456311,-5642677900640680807,-7280923533042302322,3429919109430724433,-7365647022352359747
10053,-295097034067684803,5580706453351614893,-1685388078478538445,-121499733957863223,-5878483489297953887
10054,2754153480241857175,-5555886755684584727,84202211474660781,8940264152450000766,-1426752019376808262
10055,2406058641507023534,139219708732779504,7711437562629889411,-9151408670866218560,-5831469423361090903
10056,-3115187370553904409,-2455336913511624910,-4482585003936581805,-6979151589681794071,6589610937316869132
10057,-5920319372070766642,2130813439338571442,-5708844266176134853,623538296990413461,2120212888050795670
10058,-9189154803434606298,-632001119441117594,-8413519560528029828,7054478064105244203,8334154441568037158
10059,-1140060920876386316,6601228082481051149,999965506879516215,7650752305128362223,-4208029640468605034
10060,7199385531135951657,-5133989423102109790,-3675190858643001243,9134783373628865162,-7022331766396835943
10061,-1738707113332510785,-8289407012710606351,-8124243300426874441,-5133989423102109790,-3240828186859653272
10062,1049128237460506297,155765419628442113,5529579814746589929,8081190692010840191,-5927727437182444075
10063,5973425317592919589,-2414439583146842753,8409786439088187184,-4087824903508651842,-5642677900640680807
10064,-143345179733476777,6059288637728266190,4520132844155930819,-5063476125944501026,5778400207526741149
10065,1578975279575237441,-5971853588771139673,-7483182031590430509,8786399788846473127,-7223867080369743797
10066,5717345826029480413,-6926846800221086622,-4103970949637108641,8409786439088187184,-8197808667804334198
10067,-3054667323950936384,9152823195770702014,-8834360813792925121,-2868119305761919194,-2768484487200571578
10068,6874635148631372264,-164378250378848075,-164378250378848075,-8136856254516979206,8409497958663604599
10069,-4165776027387222005,-596741157903034677,-4829824040723266707,-5270876983441743051,1014630515723910692
10070,9130814861626253335,4756747202018260301,6274119873512313300,7103992703200870870,-8774112797818356133
10071,-2390442288132293716,-5996921154498304162,-6300847010387266896,2775983923439015055,-5555886755684584727
10072,-164378250378848075,-1779204551051145120,-3382148964772581616,977304508931203320,-7625527103572241971
10073,6187010331399831690,3700804074862196577,-2220037276737044016,-3138219882175205538,705273301184972442
10074,7188717925265710804,6874635148631372264,-5552089368505804148,2403133677327962402,9089583883009049808
10075,8961673670636593983,574274869414188205,-3698635357633507490,1444100291096625572,-202238825155528003
10076,2579876533344961581,-2390442288132293716,4449149586854149195,2828312336940425864,-3116953626790052479
10077,8743239805383285325,4485077278013134956,2134403201690431677,7486690968341275097,8940264152450000766
10078,4961805433796504797,-8439272787301215339,523619749289931142,259747190064469459,6784421588856682498
10079,906261727243552184,-5785198091292848986,-164378250378848075,6059288637728266190,7930004430115124213
10080,-8941189577706806860,-9051631768860707354,1578975279575237441,9172786718954809297,-8978065787119330319
10081,-8197808667804334198,-3417907476281195108,-6590263493577388134,-1069745889284559653,-5564854929189808487
10082,-835807466619128850,-5373245094310821599,-5336119957687378547,-9189154803434606298,-7401014029552008313
10083,1751562707932572712,-586825483287243700,1578975279575237441,5663343349152545847,6327721891367323346
10084,4157822726869841164,-8727239809517766634,-3417907476281195108,5716477530093319761,561242762053072243
10085,5809367970522425355,-6776363948996727988,-8673739350618338955,-164378250378848075,-1718753484985272682
10086,-4134802995799796604,-1192246819498039403,-8390108235627576366,8961673670636593983,6024953805313656676
10087,-3583181421053086921,5708816767165143806,8800182335332003755,2445348109618141814,-5280079597822768784
10088,-890092280792353808,-121499733957863223,970472723258979546,-8023294691694842837,-7514284638617096544
10089,1129385519793755841,1548430276049687218,-1067280139729485434,7642054223448347531,5716477530093319761
10090,-7547663733371143019,3344597199959579996,-177029440486059776,388108509046326375,2552826135042077307
10091,4449795713963095848,-3681964230012887312,-7040305022799557822,7542184115404817883,-4621920919987437287
10092,-1718753484985272682,4100926550776340037,-8631141765579291153,247645787226086785,6960883261842807121
10093,5663343349152545847,3203311963319915072,4401467016848182486,7539816658952289493,280659576679172027
10094,-4482585003936581805,-6776363948996727988,-112831145928566521,4929097168679582706,-673511504732113143
10095,-669127203237202669,-3115187370553904409,-2810633139141280738,3262728650081535420,-6982089696806720875
10096,6119377963866422626,-8255421146008892214,6589610937316869132,7457761470638791806,-5478963969569862966
10097,-7577397205314217806,-5499136637783497360,1712920190415527246,2502181125720529945,-4768527888586190281
10098,4333987024200724208,7745086560848089474,-3334783846902688749,7331504677114080744,5941474698499407589
10099,2378515007730241472,-2847256410499284653,4584811508552081150,1378858321623786053,2267368334829541432
10100,-1630291273173024707,-3008428777850710033,-4621920919987437287,4832522718967936586,-8991309608571828832
10101,4399535468772878248,7434117279889215580,2616918891584021810,-946808561918806645,-1278286696495891008
10102,-5373245094310821599,-3111304073095537274,-8284147897977556300,-4860744402532723930,-6590263493577388134
10103,2134403201690431677,1716472575500076428,-1192057848630915341,7642054223448347531,-7438791048011522150
10104,6895992565345467060,-1793278504088800642,6310475058634862736,-5270876983441743051,-7436387761851773141
10105,3708859961753656254,691667697867965088,-9165053912273650312,6935275294665122388,4961805433796504797
10106,-2025904901959071415,5567285846388163364,-3382148964772581616,3738435336298044795,802446090461721897
10107,7972795150257873364,-2498811209296481166,-2847256410499284653,1752595416490769995,7343015463562763928
10108,-5093774337709636811,4925626068318147539,4649584853292884422,4896492029989706421,-6949552699758483103
10109,-1678464252105620859,-299357016771119923,9198467840470474175,-6590263493577388134,2579876533344961581
10110,5192731406015975318,-5133989423102109790,6935275294665122388,8252677086574219856,4828846767614145907
10111,155765419628442113,8577020503343079290,-5738854232286714133,1751562707932572712,1489674402503221331
10112,-6949552699758483103,-2768484487200571578,-2600546277168444651,-5431529901204509063,6119377963866422626
10113,-8289407012710606351,6403198657774209700,5753653059442147479,-5478963969569862966,-505536424890136979
10114,2778252574203180776,-7617666258751795733,4793962224495764709,-3180383507895937370,-4959088576518548375
10115,-2847256410499284653,7899128029817632641,-4036891349886310843,2579876533344961581,-6833671727856221311
10116,1606559595060691972,-6381071431264560084,8895529179959636961,-5478963969569862966,-5262623870137670053
10117,3871681430954683475,6222668547795558607,4333987024200724208,-890092280792353808,-6499883731996047659
