iter	RMSE
0	0.1654070876
1	0.1649480458
2	0.1643858968
3	0.1641254326
4	0.1637848224
5	0.1633669227
6	0.1629424192
7	0.1624191552
8	0.1618051316
9	0.1612607477
10	0.1608994481
11	0.1604641169
12	0.160053538
13	0.1595288068
14	0.1592772214
15	0.1589874832
16	0.1585058653
17	0.157961314
18	0.1577678884
19	0.157332533
20	0.1571776975
21	0.1569755339
22	0.1567946124
23	0.1564127949
24	0.1561938979
25	0.1560791586
26	0.1557200976
27	0.1553186627
28	0.1551558883
29	0.1550139279
30	0.1548116225
31	0.154501355
32	0.1543780488
33	0.1541887767
34	0.153965932
35	0.1537281997
36	0.1536866409
37	0.1534345453
38	0.1532000214
39	0.153083096
40	0.1529263504
41	0.1525729173
42	0.1524399464
43	0.1522282222
44	0.1521270736
45	0.1519939056
46	0.1518067002
47	0.1516210976
48	0.1512962645
49	0.1509012249
50	0.1507449254
51	0.1505307255
52	0.1501586684
53	0.150002001
54	0.1498182232
55	0.1496561072
56	0.1494450367
57	0.1492173665
58	0.1489744319
59	0.1487040077
60	0.1486212438
61	0.1483902922
62	0.1482435626
63	0.1480972293
64	0.1479917546
65	0.1479007736
66	0.1477391422
67	0.1474211903
68	0.1473186845
69	0.1472399773
70	0.147111399
71	0.1469467861
72	0.1468379371
73	0.1464785352
74	0.1463822199
75	0.1461185626
76	0.1458853763
77	0.145805983
78	0.145690381
79	0.1453892665
80	0.145070553
81	0.1449228726
82	0.1447529932
83	0.1446414001
84	0.1445149933
85	0.1443914428
86	0.144034522
87	0.1438976996
88	0.1438217709
89	0.1436096907
90	0.1434887759
91	0.1433278307
92	0.1432646889
93	0.143193458
94	0.1428090598
95	0.1428025583
96	0.1424937383
97	0.1423409894
98	0.1421698962
99	0.1420600029
100	0.1418656196
101	0.1417318715
102	0.1415684546
103	0.14145606
104	0.1413503487
105	0.141274247
106	0.1412088929
107	0.1411158333
108	0.1409671928
109	0.1407576694
110	0.1404436804
111	0.1404067016
112	0.1401469079
113	0.1400440463
114	0.1399111905
115	0.1398422015
116	0.1397161568
117	0.1394621118
118	0.139364551
119	0.1392557032
120	0.139205877
121	0.1389122717
122	0.1387570707
123	0.1386132278
124	0.1385088622
125	0.1384430237
126	0.1382632723
127	0.1380873581
128	0.137865223
129	0.1376816656
130	0.1374751636
131	0.1372141434
132	0.1370711443
133	0.1370488628
134	0.1370084254
135	0.1368996058
136	0.1368233761
