iter	Passed	Remaining
0	52	52914
1	53	26868
2	54	18181
3	55	13881
4	56	11279
5	57	9527
6	58	8271
7	59	7324
8	59	6596
9	60	6008
10	61	5524
11	62	5125
12	63	4786
13	63	4495
14	64	4241
15	65	4023
16	66	3838
17	67	3673
18	68	3534
19	69	3394
20	70	3279
21	71	3167
22	72	3062
23	72	2962
24	73	2872
25	74	2790
26	75	2711
27	76	2638
28	76	2570
29	77	2508
30	78	2448
31	79	2393
32	79	2343
33	80	2300
34	82	2266
35	83	2228
36	83	2178
37	84	2139
38	85	2102
39	86	2066
40	86	2032
41	87	2001
42	88	1970
43	89	1941
44	90	1914
45	90	1887
46	91	1861
47	92	1835
48	93	1813
49	94	1798
50	95	1778
51	97	1785
52	99	1783
53	101	1780
54	103	1771
55	104	1757
56	105	1742
57	106	1733
58	107	1721
59	109	1708
60	110	1694
61	113	1711
62	114	1706
63	115	1696
64	117	1685
65	118	1674
66	119	1662
67	120	1656
68	122	1646
69	123	1637
70	124	1628
71	125	1620
72	128	1632
73	192	2411
74	203	2509
75	211	2567
76	218	2622
77	220	2611
78	224	2612
79	226	2605
80	228	2596
81	231	2587
82	233	2578
83	235	2573
84	238	2572
85	244	2595
86	246	2588
87	268	2783
88	272	2784
89	274	2776
90	276	2765
91	279	2756
92	281	2747
93	284	2738
94	287	2734
95	287	2711
96	290	2705
97	293	2696
98	295	2687
99	307	2770
100	310	2760
101	312	2749
102	314	2738
103	316	2728
104	319	2719
105	320	2706
106	322	2691
107	324	2676
108	325	2663
109	328	2656
110	330	2646
111	331	2626
112	333	2618
113	336	2614
114	338	2607
115	341	2599
116	343	2591
117	345	2584
118	348	2576
119	350	2571
120	355	2583
121	357	2569
122	359	2566
123	362	2559
124	364	2551
125	367	2546
126	369	2539
127	371	2532
128	374	2526
129	376	2520
130	380	2524
131	383	2519
132	385	2512
133	387	2505
134	390	2498
135	392	2491
136	394	2484
137	396	2478
138	399	2472
139	401	2465
140	403	2457
141	404	2446
142	406	2437
143	408	2427
144	409	2417
145	412	2412
146	414	2404
147	415	2394
148	418	2388
149	419	2376
150	420	2364
151	421	2353
152	423	2342
153	424	2330
154	425	2318
155	427	2312
156	428	2301
157	429	2291
158	431	2280
159	432	2269
160	433	2258
161	434	2248
162	435	2237
163	437	2227
164	438	2217
165	439	2207
166	440	2197
167	442	2190
168	443	2182
169	444	2172
170	446	2162
171	447	2152
172	448	2142
173	449	2133
174	450	2123
175	451	2114
176	452	2106
177	454	2097
178	455	2088
179	457	2083
180	458	2076
181	460	2068
182	461	2060
183	462	2051
184	463	2043
185	465	2035
186	466	2026
187	467	2018
188	468	2010
189	469	2002
190	471	1995
191	473	1993
192	475	1989
193	477	1984
194	478	1977
195	480	1969
196	481	1961
197	482	1954
198	483	1947
199	484	1939
200	486	1932
201	487	1924
202	489	1923
203	490	1914
204	492	1909
205	494	1904
206	495	1898
207	496	1891
208	497	1884
209	498	1877
210	500	1870
211	501	1864
212	504	1863
213	505	1858
214	507	1854
215	509	1849
216	510	1842
217	511	1835
218	512	1829
219	514	1822
220	514	1814
221	516	1808
222	518	1804
223	519	1799
224	520	1793
225	522	1787
226	523	1781
227	524	1775
228	525	1768
229	526	1762
230	527	1755
231	528	1750
232	529	1744
233	531	1738
234	532	1732
235	533	1728
236	535	1723
237	536	1717
238	537	1712
239	538	1706
240	540	1700
241	541	1695
242	542	1689
243	543	1685
244	545	1679
245	546	1674
246	547	1669
247	549	1666
248	550	1661
249	551	1655
250	553	1650
251	554	1645
252	555	1640
253	556	1634
254	557	1629
255	558	1624
256	559	1618
257	560	1613
258	562	1607
259	564	1605
260	565	1601
261	566	1596
262	567	1590
263	568	1585
264	569	1580
265	570	1575
266	572	1570
267	573	1565
268	574	1561
269	575	1555
270	576	1550
271	577	1546
272	579	1543
273	580	1539
274	582	1534
275	583	1529
276	584	1526
277	586	1522
278	587	1518
279	588	1513
280	589	1509
281	590	1504
282	592	1500
283	594	1499
284	596	1496
285	597	1491
286	598	1487
287	599	1482
288	600	1478
289	602	1474
290	603	1469
291	604	1465
292	605	1461
293	606	1456
294	609	1455
295	612	1456
296	614	1454
297	617	1454
298	619	1451
299	621	1449
300	623	1448
301	625	1445
302	628	1445
303	632	1447
304	650	1482
305	655	1486
306	658	1487
307	663	1490
308	665	1489
309	669	1490
310	672	1490
311	676	1491
312	679	1490
313	681	1488
314	683	1485
315	685	1482
316	686	1479
317	688	1477
318	691	1476
319	693	1472
320	695	1472
321	697	1469
322	699	1466
323	702	1465
324	703	1461
325	705	1459
326	707	1455
327	708	1451
328	709	1447
329	711	1444
330	712	1439
331	713	1435
332	714	1431
333	715	1426
334	716	1422
335	717	1418
336	718	1414
337	720	1410
338	721	1407
339	723	1404
340	725	1401
341	726	1397
342	727	1394
343	728	1389
344	729	1385
345	730	1381
346	731	1376
347	732	1372
348	734	1369
349	735	1366
350	736	1362
351	737	1358
352	739	1354
353	739	1350
354	741	1346
355	741	1342
356	742	1338
357	743	1333
358	744	1329
359	745	1325
360	746	1321
361	747	1317
362	748	1313
363	749	1309
364	750	1305
365	751	1301
366	752	1297
367	753	1293
368	754	1289
369	755	1285
370	755	1281
371	756	1276
372	757	1272
373	757	1268
374	758	1264
375	759	1259
376	759	1255
377	760	1251
378	761	1247
379	761	1242
380	762	1238
381	762	1234
382	764	1230
383	765	1227
384	765	1223
385	766	1219
386	767	1215
387	768	1211
388	769	1207
389	769	1203
390	770	1199
391	771	1196
392	771	1192
393	772	1188
394	773	1184
395	773	1180
396	774	1176
397	774	1172
398	775	1168
399	776	1164
400	776	1160
401	777	1156
402	778	1152
403	778	1149
404	779	1145
405	780	1142
406	781	1138
407	782	1134
408	783	1131
409	783	1128
410	784	1124
411	785	1120
412	786	1117
413	786	1113
414	787	1109
415	788	1106
416	788	1102
417	789	1099
418	790	1095
419	791	1092
420	791	1088
421	792	1085
422	793	1081
423	794	1078
424	795	1075
425	795	1072
426	796	1069
427	797	1065
428	798	1062
429	798	1059
430	799	1055
431	800	1052
432	801	1048
433	801	1045
434	802	1042
435	803	1038
436	803	1035
437	804	1032
438	805	1029
439	806	1026
440	808	1024
441	809	1021
442	810	1018
443	811	1016
444	812	1013
445	813	1010
446	814	1008
447	816	1005
448	817	1003
449	818	1000
450	819	997
451	820	995
452	821	992
453	823	990
454	824	987
455	826	985
456	827	983
457	828	980
458	829	978
459	830	975
460	833	974
461	835	972
462	836	969
463	837	967
464	838	964
465	840	962
466	841	960
467	842	957
468	844	955
469	845	953
470	846	950
471	847	948
472	849	946
473	850	943
474	851	941
475	853	939
476	854	936
477	855	934
478	857	932
479	858	929
480	859	927
481	860	924
482	861	922
483	862	919
484	863	917
485	864	914
486	866	912
