iter	RMSE
0	0.4983458894
1	0.4967114219
2	0.495146205
3	0.4938480289
4	0.4925450498
5	0.491462116
6	0.4904137518
7	0.4894299055
8	0.4886536232
9	0.4878284772
10	0.4871674189
11	0.4863597135
12	0.485766083
13	0.4851153206
14	0.4845721769
15	0.4838837013
16	0.4833629141
17	0.48286067
18	0.482376853
19	0.4820274304
20	0.4815366311
21	0.4811686428
22	0.4808195048
23	0.4804833318
24	0.4800240124
25	0.4796627451
26	0.4793633983
27	0.4790591697
28	0.4787601321
29	0.478475216
30	0.4782342355
31	0.4779714888
32	0.4777764542
33	0.4775137825
34	0.4773546557
35	0.4771323439
36	0.4769015887
37	0.4767598677
38	0.4765569717
39	0.4763885471
40	0.4762097683
41	0.4760167743
42	0.4758592097
43	0.4757213512
44	0.4755950636
45	0.4754671178
46	0.4752108773
47	0.475157311
48	0.47494385
49	0.4746909383
50	0.4745392161
51	0.4744552792
52	0.4743834895
53	0.4742689951
54	0.4741179043
55	0.4739984098
56	0.4739104077
57	0.4737373685
58	0.4736516529
59	0.473520202
60	0.4734447418
61	0.4733148871
62	0.4733062567
63	0.4732603249
64	0.4731194462
65	0.4730320747
66	0.4728479367
67	0.4728031275
68	0.4727032872
69	0.4726848091
70	0.4726076106
71	0.4724239601
72	0.4722977326
73	0.4722239336
74	0.4721274605
75	0.4720176921
76	0.4718827399
77	0.4718459763
78	0.4717494903
79	0.4716270314
80	0.4714594343
81	0.471348289
82	0.47123653
83	0.4711727979
84	0.4709863526
85	0.4708410727
86	0.4706736804
87	0.4705958003
88	0.4705669037
89	0.4704613304
90	0.4704280438
91	0.4703399156
92	0.4701708123
93	0.470117141
94	0.4699823425
95	0.4698991839
96	0.4696676986
97	0.4696015238
98	0.4694966057
99	0.469322533
100	0.4692536953
101	0.469189951
102	0.4691229795
103	0.4690460865
104	0.4689328216
105	0.4688829166
106	0.4688546058
107	0.468718592
108	0.4685455965
109	0.4684407814
110	0.4684076408
111	0.4682211046
112	0.4680832044
113	0.467950257
114	0.4679186544
115	0.4678591936
116	0.4677668839
117	0.4677339564
118	0.4676906061
119	0.4676779932
120	0.4676493778
121	0.4675930414
122	0.4675536171
123	0.4675068174
124	0.4674382683
125	0.4673358145
126	0.4672687266
127	0.4671049422
128	0.4670333788
129	0.4669462596
130	0.4669237116
131	0.4667811743
132	0.4666800487
133	0.4665993164
134	0.4664762209
135	0.466429022
136	0.4664046479
137	0.4663589437
138	0.4662711404
139	0.4661928256
140	0.4661083511
141	0.4660248284
142	0.4659625398
143	0.4658842818
144	0.4658682561
145	0.4658345921
146	0.465721213
147	0.4656708185
148	0.4656125275
149	0.4655660186
150	0.4654407954
151	0.4653643138
152	0.4653255237
153	0.4652941931
154	0.4652311693
155	0.4651521436
156	0.4650539711
157	0.4649544071
158	0.4649377532
159	0.4648681279
160	0.4647790336
161	0.4646752721
162	0.4646493423
163	0.4645764954
164	0.4644546581
165	0.4643484325
166	0.464311543
167	0.4642820551
168	0.4642790069
169	0.4641926622
170	0.4640687918
171	0.4639885015
172	0.4638610778
173	0.463724493
174	0.4636562667
175	0.4635981358
176	0.4635089686
177	0.4633253663
178	0.4632852085
179	0.4631973819
180	0.4631632515
181	0.4631206768
182	0.4630718669
183	0.4629973014
184	0.4628979211
185	0.4628207097
186	0.4627465868
187	0.4626307919
188	0.4625113809
189	0.4624342417
190	0.4623962146
191	0.4622826404
192	0.4622709867
193	0.4622610018
194	0.4622279614
195	0.4621020973
196	0.4620751561
197	0.4619684522
198	0.4619132245
199	0.4617685021
200	0.4616383697
201	0.4615839933
202	0.4615177665
203	0.4613938818
204	0.4612875282
205	0.4612848828
206	0.461191946
207	0.4610778555
208	0.4609825764
209	0.4609141477
210	0.4608170495
211	0.4607439076
212	0.4606336257
213	0.4606243014
214	0.4605117604
215	0.4604336663
216	0.4603216998
217	0.4602916442
218	0.4601824104
219	0.4601040955
220	0.4600381512
221	0.4599253083
222	0.4598130744
223	0.4597532526
224	0.4596404593
225	0.4595879605
226	0.4595290373
227	0.4593993978
228	0.4593706944
229	0.4593124041
230	0.4592581725
231	0.4591866829
232	0.4591111101
233	0.4590468633
234	0.459021957
235	0.4589533579
236	0.4588874178
237	0.4588283116
238	0.4588169272
239	0.4587909973
240	0.4587216559
241	0.4586325892
242	0.4585222036
243	0.4584834571
244	0.4584581723
245	0.458353005
246	0.4582731165
247	0.458174921
248	0.4580732715
249	0.4579649548
250	0.4579545189
251	0.4578783154
252	0.4578166002
253	0.4577772867
254	0.4576895702
255	0.4575977957
256	0.4575175025
257	0.457419573
258	0.4573234017
259	0.457214768
260	0.4571055965
261	0.4569895526
262	0.4569324595
263	0.4568709391
264	0.4568131378
265	0.4567621481
266	0.4567142164
267	0.456556738
268	0.4564910913
269	0.4564404319
270	0.4563997131
271	0.4563858018
272	0.4563469178
273	0.4563239083
274	0.4562352136
275	0.456178392
276	0.4561712801
277	0.456168895
278	0.4561240606
279	0.4560836281
280	0.4560340463
281	0.455951743
282	0.4559457749
283	0.4558474098
284	0.4557509186
285	0.4556669386
286	0.4556195264
287	0.4555425395
288	0.45551903
289	0.4554559854
290	0.4554230721
291	0.4553334605
292	0.4553015429
293	0.4552215028
294	0.4551870029
295	0.4551298039
296	0.4550675776
297	0.4549999153
298	0.4549475424
299	0.4549107023
300	0.4548193612
301	0.4547581032
302	0.454716004
303	0.4546463822
304	0.4545847581
305	0.454553869
306	0.4545340509
307	0.4544393123
308	0.4543631762
309	0.454248306
310	0.4541804357
311	0.4541304426
312	0.4540815511
313	0.4539827379
314	0.4539103891
315	0.4538454315
316	0.4537996808
317	0.4537328857
318	0.4536349324
319	0.4536070391
320	0.4535764606
321	0.4535091182
322	0.4534228553
323	0.4533655285
324	0.4532562583
325	0.4532331752
326	0.4531880437
327	0.4531373986
328	0.4531192156
329	0.4530486999
330	0.4529801805
331	0.4529111414
332	0.4528939092
333	0.4528364404
334	0.4528180692
335	0.4526780789
336	0.4526545812
337	0.4526068361
338	0.4525339904
339	0.4524431766
340	0.4524316626
341	0.4523807495
342	0.452363889
343	0.4523161114
344	0.452272409
345	0.4522106365
346	0.4521754567
347	0.4521312275
348	0.452067431
349	0.4520075499
350	0.4519917353
351	0.4519698616
352	0.4518622863
353	0.4518482161
354	0.4518320022
355	0.4518025017
356	0.4517353229
357	0.4516427487
358	0.4515858318
359	0.4515447657
360	0.4514477043
361	0.451406616
362	0.4513635847
363	0.4512596349
364	0.4512271053
365	0.451163338
366	0.4509987583
367	0.4508719072
368	0.4508116093
369	0.4507071483
370	0.4506706874
371	0.4505684174
372	0.4505072312
373	0.4504827133
374	0.4503669797
375	0.4502533972
376	0.4501414579
377	0.4500702881
378	0.4500178921
379	0.4499677997
380	0.4499068016
381	0.4498901355
382	0.4498006718
383	0.4497375163
384	0.4496672168
385	0.4496154201
386	0.4495468753
387	0.4494976864
388	0.4493995533
389	0.4492927149
390	0.449165536
391	0.449115456
392	0.4490857434
393	0.4490346864
394	0.4490077097
395	0.4489263603
396	0.4488191309
397	0.4487624061
398	0.4487218597
399	0.4486676356
400	0.4486503715
401	0.4486073507
402	0.4485589052
403	0.4485040307
404	0.4484545992
405	0.4483357121
406	0.4482231469
407	0.4481429379
408	0.4479405666
409	0.4479099165
410	0.447855709
411	0.44773215
412	0.4476408298
413	0.4475261476
414	0.4474758968
415	0.4474274134
416	0.4473948437
417	0.4473459239
418	0.4472774795
419	0.4472268331
420	0.4471212813
421	0.4470780318
422	0.4470194027
423	0.4469997394
424	0.4469509747
425	0.4468759213
426	0.4468242558
427	0.4467717294
428	0.446697199
429	0.4466332245
430	0.4465298445
431	0.4464861292
432	0.446437665
433	0.4463501424
434	0.4463316335
435	0.4462703084
436	0.4462235012
437	0.4461716803
438	0.4461541337
439	0.4460899224
440	0.4459228111
441	0.4458785102
442	0.4457830997
443	0.4457246363
444	0.4456857607
445	0.4456381367
446	0.4455406677
447	0.4454500383
448	0.4454394765
449	0.44541288
450	0.445312413
451	0.4452971767
452	0.4452092654
453	0.4451991137
454	0.4450672909
455	0.4450419372
456	0.4449858201
457	0.4449067771
458	0.4448918429
459	0.4447767233
460	0.4446332353
461	0.4446201413
462	0.4444817361
463	0.4444318117
464	0.4443750908
465	0.4442303024
466	0.4441952054
467	0.4441235696
468	0.4440649632
469	0.4440133565
470	0.443996372
471	0.4439811903
472	0.4439149398
473	0.4438508742
474	0.4438414906
475	0.4437717061
476	0.4437193061
477	0.4436748929
478	0.4435943794
479	0.4435452035
480	0.4434354561
481	0.443424552
482	0.4433682888
483	0.4433629358
484	0.4433413012
485	0.4432851108
486	0.4432153126
487	0.4431593246
488	0.4431182709
489	0.4431015214
490	0.4430167356
491	0.4429734236
492	0.4429068774
493	0.4428715191
494	0.4427903173
495	0.4427496814
496	0.4426825892
497	0.442605136
498	0.4425627137
499	0.442477669
500	0.4423429137
501	0.4423081954
502	0.4422586589
503	0.4422439879
504	0.442191682
505	0.4420961195
506	0.4420841946
507	0.4420015301
508	0.4419903533
509	0.4419728433
510	0.4419580389
511	0.4418857684
512	0.4418442378
513	0.4418069958
514	0.4417944741
515	0.441740855
516	0.4416928101
517	0.4415951537
518	0.4415638569
519	0.4415338381
520	0.4414977453
521	0.4414699437
522	0.4414474814
523	0.4413970956
524	0.4413165081
525	0.4412577717
526	0.4412142392
527	0.4411649101
528	0.4410501687
529	0.4409747089
530	0.4409475227
531	0.4409232661
532	0.4408222823
