iter	Passed	Remaining
0	56	56683
1	59	29766
2	62	20829
3	65	16267
4	68	13584
5	71	11917
6	74	10599
7	77	9600
8	79	8786
9	82	8179
10	85	7683
11	88	7256
12	90	6887
13	103	7300
14	107	7053
15	111	6868
16	125	7271
17	130	7103
18	135	6985
19	137	6759
20	140	6541
21	143	6358
22	147	6273
23	150	6130
24	154	6016
25	157	5881
26	159	5764
27	163	5688
28	167	5608
29	170	5501
30	172	5398
31	176	5333
32	180	5291
33	183	5217
34	186	5142
35	190	5094
36	193	5041
37	197	4988
38	199	4926
39	202	4859
40	205	4798
41	208	4760
42	212	4720
43	214	4664
44	217	4607
45	219	4557
46	222	4506
47	225	4466
48	228	4430
49	231	4390
50	234	4355
51	237	4323
52	240	4291
53	243	4259
54	245	4222
55	248	4196
56	251	4163
57	254	4128
58	258	4124
59	261	4104
60	264	4075
61	267	4045
62	269	4002
63	272	3981
64	275	3959
65	277	3932
66	280	3902
67	282	3871
68	284	3839
69	286	3809
70	289	3789
71	292	3767
72	295	3747
73	297	3722
74	299	3693
75	301	3667
76	304	3648
77	306	3625
78	309	3602
79	311	3578
80	313	3553
81	315	3528
82	317	3506
83	320	3491
84	322	3472
85	324	3451
86	326	3430
87	328	3408
88	330	3387
89	333	3368
90	335	3351
91	338	3337
92	340	3320
93	342	3300
94	344	3282
95	346	3266
96	349	3249
97	351	3239
98	354	3224
99	356	3212
100	359	3196
101	361	3181
102	363	3168
103	367	3161
104	369	3151
105	372	3139
106	374	3124
107	376	3109
108	378	3096
109	381	3088
110	384	3080
111	387	3069
112	389	3058
113	392	3047
114	393	3031
115	396	3019
116	399	3011
117	401	2999
118	403	2988
119	405	2975
120	407	2960
121	409	2948
122	411	2936
123	414	2927
124	416	2917
125	418	2905
126	421	2894
127	423	2882
128	425	2870
129	427	2858
130	429	2849
131	431	2840
132	433	2829
133	436	2818
134	438	2807
135	440	2795
136	442	2784
137	444	2775
138	446	2768
139	449	2762
140	452	2753
141	454	2743
142	456	2734
143	458	2724
144	460	2716
145	463	2709
146	465	2703
147	468	2696
148	470	2686
149	472	2678
150	474	2670
151	477	2665
152	480	2659
153	483	2655
154	485	2648
155	488	2640
156	490	2632
157	493	2627
158	495	2622
159	498	2615
160	500	2607
161	502	2599
162	504	2589
163	506	2582
164	509	2578
165	512	2574
166	515	2569
167	517	2561
168	518	2550
169	520	2542
170	523	2538
171	526	2534
172	529	2530
173	531	2524
174	534	2519
175	536	2513
176	539	2508
177	543	2507
178	545	2502
179	547	2496
180	550	2490
181	552	2484
182	555	2480
183	558	2477
184	561	2475
185	564	2469
186	566	2463
187	568	2457
188	572	2454
189	574	2450
190	577	2447
191	580	2442
192	582	2436
193	584	2429
194	589	2432
195	592	2431
196	595	2425
197	597	2420
198	600	2415
199	604	2416
200	606	2412
201	609	2409
202	612	2403
203	614	2399
204	618	2400
205	621	2396
206	625	2396
207	628	2392
208	631	2389
209	635	2389
210	638	2388
211	642	2388
212	645	2385
213	648	2382
214	652	2381
215	656	2381
216	659	2378
217	661	2374
218	665	2372
219	671	2381
220	674	2379
221	678	2379
222	685	2390
223	689	2388
224	692	2384
225	695	2381
226	701	2389
227	707	2395
228	710	2393
229	715	2395
230	719	2394
231	722	2392
232	725	2389
233	729	2386
234	731	2382
235	734	2378
236	740	2385
237	744	2383
238	747	2379
239	751	2379
240	754	2376
241	758	2375
242	762	2376
243	766	2373
244	769	2370
245	772	2369
246	778	2374
247	782	2372
248	786	2371
249	790	2370
250	793	2368
251	797	2367
252	801	2365
253	804	2362
254	808	2361
255	811	2359
256	814	2355
257	817	2351
258	820	2348
259	824	2345
260	827	2342
261	830	2339
262	833	2336
263	837	2334
264	841	2334
265	844	2330
266	848	2328
267	851	2325
268	855	2324
269	858	2321
270	861	2318
271	864	2315
272	868	2313
273	872	2312
274	876	2309
275	878	2305
276	881	2300
277	884	2295
278	887	2293
279	891	2291
280	893	2287
281	896	2283
282	899	2278
283	903	2276
284	906	2272
285	908	2268
286	911	2263
287	913	2258
288	916	2255
289	920	2252
290	922	2247
291	925	2243
292	927	2237
293	929	2232
294	932	2228
295	935	2225
296	937	2219
297	940	2214
298	942	2210
299	945	2205
300	947	2201
301	951	2198
302	953	2193
303	956	2188
304	958	2184
305	961	2179
306	963	2175
307	967	2173
308	970	2169
309	972	2165
310	975	2160
311	977	2155
312	981	2153
313	984	2151
314	987	2146
315	989	2142
316	991	2137
317	994	2132
318	998	2131
319	1000	2126
320	1002	2121
321	1005	2116
322	1007	2111
323	1009	2106
324	1013	2105
325	1016	2100
326	1019	2097
327	1021	2093
328	1024	2089
329	1027	2086
330	1031	2084
331	1034	2080
332	1037	2077
333	1039	2072
334	1041	2068
335	1044	2064
336	1048	2062
337	1051	2059
